id,closeness_to_holiday,B,Month,product_page_duration,BounceRates,info_page_duration,total_duration,device,num_of_admin_pages,num_of_product_pages,C,ExitRates,num_of_info_pages,D,user_type,Region,admin_page_duration,PageValues,A,Weekend,internet_browser,purchase
0,0.0,84.95815359846641,Feb,0.0 minutes,0.2,0.0 minutes,,1.0,0.0,1.0,log8080,0.2,0.0,,Returning_Visitor,1.0,0.0,0.0,c_1,0.0,safari_13,0
1,0.0,102.10016210920564,Feb,64.0 minutes,0.0,0.0 minutes,,2.0,0.0,2.0,log202,0.1,0.0,,Returning_Visitor,1.0,0.0,0.0,c_2,0.0,chrome_89,0
2,0.0,100.9910642377011,Feb,0.0 minutes,0.2,0.0 minutes,,4.0,0.0,1.0,log200,0.2,0.0,,Returning_Visitor,9.0,0.0,0.0,c_3,0.0,safari_15,0
3,0.0,120.60552531387533,Feb,2.666666667 minutes,0.05,0.0 minutes,,3.0,0.0,2.0,log200,0.14,0.0,,Returning_Visitor,2.0,0.0,0.0,c_4,0.0,chrome_89,0
4,0.0,87.42370837953429,Feb,627.5 minutes,0.02,0.0 minutes,,3.0,,10.0,log404,0.05,0.0,,Returning_Visitor,1.0,0.0,0.0,c_4,1.0,browser_3_v9,0
5,0.0,96.97560888825373,Feb,154.2166667 minutes,0.015789473999999998,0.0 minutes,,2.0,0.0,19.0,log202,0.024561404,0.0,,Returning_Visitor,1.0,0.0,0.0,c_3,0.0,chrome_90.1.7,0
6,0.4,107.9062356759884,Feb,0.0 minutes,0.2,0.0 minutes,,2.0,0.0,1.0,log200,0.2,0.0,,Returning_Visitor,3.0,0.0,0.0,c_3,0.0,edge_97.0.1072.76,0
7,0.0,89.35856956511196,Feb,0.0 minutes,0.2,0.0 minutes,,1.0,1.0,0.0,log202,0.2,0.0,,Returning_Visitor,1.0,0.0,0.0,c_5,1.0,chrome_90.1.7,0
8,0.8,91.53743262013558,Feb,37.0 minutes,0.0,0.0 minutes,37.0,2.0,0.0,2.0,log8080,0.1,0.0,,Returning_Visitor,2.0,0.0,0.0,c_3,0.0,chrome_99.1.3,0
10,0.0,100.35045716680766,Feb,395.0 minutes,0.0,0.0 minutes,395.0,1.0,0.0,3.0,log404,0.066666667,0.0,,Returning_Visitor,3.0,0.0,0.0,c_3,0.0,safari_13,0
12,0.0,113.49578190898097,Feb,280.5 minutes,0.0,0.0 minutes,280.5,1.0,0.0,7.0,log400,0.028571429,0.0,,Returning_Visitor,1.0,0.0,0.0,,0.0,safari_13,0
13,0.0,102.97134516504548,Feb,98.0 minutes,0.0,0.0 minutes,98.0,,0.0,6.0,log200,0.066666667,0.0,,Returning_Visitor,1.0,0.0,0.0,c_3,0.0,browser_5_v19,0
14,0.0,78.38320188320546,Feb,68.0 minutes,0.0,0.0 minutes,,3.0,0.0,2.0,log200,0.1,0.0,,Returning_Visitor,3.0,0.0,0.0,c_3,0.0,chrome_89,0
15,0.0,98.83563530946459,Feb,1668.285119 minutes,0.008333333,0.0 minutes,1721.285119,1.0,2.0,23.0,log8080,0.016312636000000002,0.0,,Returning_Visitor,9.0,53.0,0.0,c_3,0.0,safari_15.2,0
